"id","filename","author","description"
1,"apartment-1.jpg","Colourbox","Lejlighed"
2,"apartment-2.jpg","Colourbox","Lejlighed"
3,"apartment-3.jpg","Colourbox","Lejlighed"
4,"bathroom-1.jpg","Colourbox","WC/Bad"
5,"bathroom-2.jpg","Colourbox","Badeværelse"
6,"bathroom-3.jpg","Colourbox","WC/Bad"
7,"bathroom-4.jpg","Colourbox","Bad/Toilet"
8,"bedroom-1.jpg","Colourbox","Soveværelse"
9,"bedroom-2.jpg","Colourbox","Soveværelse"
10,"bedroom-3.jpg","Colourbox","Soveværelse"
11,"bedroom-4.jpg","Colourbox","Soveværelse"
12,"garden-1.jpg","Colourbox","Have"
13,"garden-2.jpg","Colourbox","Have"
14,"garden-3.jpg","Colourbox","Have"
15,"house-1.jpg","Colourbox","Villa"
16,"house-2.jpg","Colourbox","Villa"
17,"house-3.jpg","Colourbox","Villa"
18,"house-4.jpg","Colourbox","Villa"
19,"house-5.jpg","Colourbox","Villa"
20,"house-6.jpg","Colourbox","Villa"
21,"kitchen-1.jpg","Colourbox","Køkken"
22,"kitchen-2.jpg","Colourbox","Køkken"
23,"kitchen-3.jpg","Colourbox","Køkken"
24,"kitchen-4.jpg","Colourbox","Køkken"
25,"livingroom-1.jpg","Colourbox","Spisestue"
26,"livingroom-2.jpg","Colourbox","Spisestue"
27,"pond-1.jpg","Colourbox","Have"
28,"pond-2.jpg","Colourbox","Have"
29,"stairway-1.jpg","Colourbox","Trapper"
30,"room-1.jpg","Colourbox","Værelse"
